FG1	FG2	incompatible
ALKYNES_TERMINAL	HYDRAZINES_PRIMARY	0
ALKYNES_TERMINAL	A_H_KETONES	0
ALKYNES_TERMINAL	KETONES_A_BROMO	0
ALKYNES_TERMINAL	YNONES	0
ALKYNES_TERMINAL	AMIDINES_PRIMARY	0
ALKYNES_TERMINAL	AMIDINES_SECONDARY	0
ALKYNES_TERMINAL	GUANIDINES_SECONDARY_PRIMARY	0
ALKYNES_TERMINAL	GUANIDINES_SECONDARY_SECONDARY	0
ALKYNES_TERMINAL	GUANIDINES_TERTIARY_PRIMARY	0
ALKYNES_TERMINAL	GUANIDINES_TERTIARY_SECONDARY	0
ALKYNES_TERMINAL	calc_NAS_ELECTROPHILE	1
ALKYNES_TERMINAL	O_AMINO_PHENOLS	0
ALKYNES_TERMINAL	O_AMINO_THIOPHENOLS	0
ALKYNES_TERMINAL	O_IODO_SEC_ANILINE	0
ALKYNES_TERMINAL	TRIAZINE_DICHLORO	0
ALKYNES_TERMINAL	TRIAZINE_MONOCHLORO	0
ALKYNES_TERMINAL	ARMINES_AROMATIC_SECONDARY_1	0
ALKYNES_TERMINAL	calc_SEC_ALIPHATIC_BOC	0
AMINES_ALIPHATIC_SECONDARY	NO_FG	0
AMINES_ALIPHATIC_SECONDARY	ALDEHYDES	0
AMINES_ALIPHATIC_SECONDARY	ALKYNES_TERMINAL	0
AMINES_ALIPHATIC_SECONDARY	AMINES_ALIPHATIC_SECONDARY	1
AMINES_ALIPHATIC_SECONDARY	AZIDE	0
AMINES_ALIPHATIC_SECONDARY	CARBOXYLIC_ACIDS	0
AMINES_ALIPHATIC_SECONDARY	THIOLS	0
AMINES_ALIPHATIC_SECONDARY	calc_THIOPHENOLS	0
AMINES_ALIPHATIC_SECONDARY	calc_NITRO	0
AMINES_ALIPHATIC_SECONDARY	calc_PHENOLS	0
AMINES_ALIPHATIC_SECONDARY	SEC_FMOC	1
AMINES_ALIPHATIC_SECONDARY	SULFONYL_CHLORIDES	1
AMINES_ALIPHATIC_SECONDARY	BORONICS_AROMATIC	0
AMINES_ALIPHATIC_SECONDARY	TERT_FMOC	1
AMINES_ALIPHATIC_SECONDARY	ESTERS_METHYL_ETHYL	0
AMINES_ALIPHATIC_SECONDARY	NITRO_FLUORO	0
AMINES_ALIPHATIC_SECONDARY	SEC_ANILINE_BOC	0
AMINES_ALIPHATIC_SECONDARY	TERT_ANILINE_BOC	0
AMINES_ALIPHATIC_SECONDARY	O_NITRO_SEC_ANILINE	0
AMINES_ALIPHATIC_SECONDARY	calc_ARYLHALIDE	0
AMINES_ALIPHATIC_SECONDARY	AMINES_ALIPHATIC_PRIMARY	1
AMINES_ALIPHATIC_SECONDARY	calc_AMINES_AROMATIC_PRIMARY	1
AMINES_ALIPHATIC_SECONDARY	ISOCYANATES	1
AMINES_ALIPHATIC_SECONDARY	ISOTHIOCYANATES	1
AMINES_ALIPHATIC_SECONDARY	O_IODO_ANILINE	1
AMINES_ALIPHATIC_SECONDARY	HYDRAZINES_PRIMARY	1
AMINES_ALIPHATIC_SECONDARY	A_H_KETONES	0
AMINES_ALIPHATIC_SECONDARY	KETONES_A_BROMO	1
AMINES_ALIPHATIC_SECONDARY	YNONES	0
AMINES_ALIPHATIC_SECONDARY	AMIDINES_PRIMARY	0
AMINES_ALIPHATIC_SECONDARY	AMIDINES_SECONDARY	0
AMINES_ALIPHATIC_SECONDARY	GUANIDINES_SECONDARY_PRIMARY	0
AMINES_ALIPHATIC_SECONDARY	GUANIDINES_SECONDARY_SECONDARY	0
AMINES_ALIPHATIC_SECONDARY	GUANIDINES_TERTIARY_PRIMARY	0
AMINES_ALIPHATIC_SECONDARY	GUANIDINES_TERTIARY_SECONDARY	0
AMINES_ALIPHATIC_SECONDARY	calc_NAS_ELECTROPHILE	1
AMINES_ALIPHATIC_SECONDARY	O_AMINO_PHENOLS	1
AMINES_ALIPHATIC_SECONDARY	O_AMINO_THIOPHENOLS	1
AMINES_ALIPHATIC_SECONDARY	O_IODO_SEC_ANILINE	0
AMINES_ALIPHATIC_SECONDARY	TRIAZINE_DICHLORO	1
AMINES_ALIPHATIC_SECONDARY	TRIAZINE_MONOCHLORO	0
AMINES_ALIPHATIC_SECONDARY	ARMINES_AROMATIC_SECONDARY_1	0
AMINES_ALIPHATIC_SECONDARY	calc_SEC_ALIPHATIC_BOC	0
AZIDE	NO_FG	0
AZIDE	ALDEHYDES	0
AZIDE	ALKYNES_TERMINAL	0
AZIDE	AMINES_ALIPHATIC_SECONDARY	0
AZIDE	AZIDE	1
AZIDE	CARBOXYLIC_ACIDS	0
AZIDE	THIOLS	0
AZIDE	calc_THIOPHENOLS	0
AZIDE	calc_NITRO	0
AZIDE	calc_PHENOLS	0
AZIDE	SEC_FMOC	0
AZIDE	SULFONYL_CHLORIDES	0
AZIDE	BORONICS_AROMATIC	0
AZIDE	TERT_FMOC	0
AZIDE	ESTERS_METHYL_ETHYL	0
AZIDE	NITRO_FLUORO	0
AZIDE	SEC_ANILINE_BOC	0
AZIDE	TERT_ANILINE_BOC	0
AZIDE	O_NITRO_SEC_ANILINE	0
AZIDE	calc_ARYLHALIDE	0
AZIDE	AMINES_ALIPHATIC_PRIMARY	0
AZIDE	calc_AMINES_AROMATIC_PRIMARY	0
AZIDE	ISOCYANATES	0
AZIDE	ISOTHIOCYANATES	0
AZIDE	O_IODO_ANILINE	0
AZIDE	HYDRAZINES_PRIMARY	0
AZIDE	A_H_KETONES	0
AZIDE	KETONES_A_BROMO	0
AZIDE	YNONES	0
AZIDE	AMIDINES_PRIMARY	0
AZIDE	AMIDINES_SECONDARY	0
AZIDE	GUANIDINES_SECONDARY_PRIMARY	0
AZIDE	GUANIDINES_SECONDARY_SECONDARY	0
AZIDE	GUANIDINES_TERTIARY_PRIMARY	0
AZIDE	GUANIDINES_TERTIARY_SECONDARY	0
AZIDE	calc_NAS_ELECTROPHILE	0
AZIDE	O_AMINO_PHENOLS	0
AZIDE	O_AMINO_THIOPHENOLS	0
AZIDE	O_IODO_SEC_ANILINE	0
AZIDE	TRIAZINE_DICHLORO	0
AZIDE	TRIAZINE_MONOCHLORO	0
AZIDE	ARMINES_AROMATIC_SECONDARY_1	0
AZIDE	calc_SEC_ALIPHATIC_BOC	0
CARBOXYLIC_ACIDS	NO_FG	0
CARBOXYLIC_ACIDS	ALDEHYDES	0
CARBOXYLIC_ACIDS	ALKYNES_TERMINAL	0
CARBOXYLIC_ACIDS	AMINES_ALIPHATIC_SECONDARY	0
CARBOXYLIC_ACIDS	AZIDE	0
CARBOXYLIC_ACIDS	CARBOXYLIC_ACIDS	1
CARBOXYLIC_ACIDS	THIOLS	0
CARBOXYLIC_ACIDS	calc_THIOPHENOLS	0
CARBOXYLIC_ACIDS	calc_NITRO	0
CARBOXYLIC_ACIDS	calc_PHENOLS	0
CARBOXYLIC_ACIDS	SEC_FMOC	0
CARBOXYLIC_ACIDS	SULFONYL_CHLORIDES	0
CARBOXYLIC_ACIDS	BORONICS_AROMATIC	0
CARBOXYLIC_ACIDS	TERT_FMOC	0
CARBOXYLIC_ACIDS	ESTERS_METHYL_ETHYL	0
CARBOXYLIC_ACIDS	NITRO_FLUORO	0
CARBOXYLIC_ACIDS	SEC_ANILINE_BOC	0
CARBOXYLIC_ACIDS	TERT_ANILINE_BOC	0
CARBOXYLIC_ACIDS	O_NITRO_SEC_ANILINE	0
CARBOXYLIC_ACIDS	calc_ARYLHALIDE	0
CARBOXYLIC_ACIDS	AMINES_ALIPHATIC_PRIMARY	0
CARBOXYLIC_ACIDS	calc_AMINES_AROMATIC_PRIMARY	0
CARBOXYLIC_ACIDS	ISOCYANATES	0
CARBOXYLIC_ACIDS	ISOTHIOCYANATES	0
