FG1	FG2	incompatible
amines_aliphatic_secondary	calc_PHENOLS	0
amines_aliphatic_secondary	sec_fmoc	1
amines_aliphatic_secondary	sulphonyl_chlorides	1
amines_aliphatic_secondary	boronics_aromatic	0
amines_aliphatic_secondary	tert_fmoc	1
amines_aliphatic_secondary	ester_methyl_ethyl	0
amines_aliphatic_secondary	nitro_fluoro	1
amines_aliphatic_secondary	sec_aniline_boc	0
amines_aliphatic_secondary	tert_aniline_boc	0
amines_aliphatic_secondary	o_nitro_sec_aniline	0
amines_aliphatic_secondary	calc_ARYLHALIDE	0
amines_aliphatic_secondary	amines-aliphatic-primary	1
amines_aliphatic_secondary	calc_AMINES_AROMATIC_PRIMARY	1
amines_aliphatic_secondary	isocyanates	1
amines_aliphatic_secondary	isothiocyanates	1
amines_aliphatic_secondary	o_iodo_aniline	1
amines_aliphatic_secondary	hydrazines_primary	1
amines_aliphatic_secondary	nitrile	0
amines_aliphatic_secondary	ketones_a_bromo	1
amines_aliphatic_secondary	ynones	0
amines_aliphatic_secondary	amidines_primary	0
amines_aliphatic_secondary	amidines_secondary	0
amines_aliphatic_secondary	guanidines_secondary_primary	0
amines_aliphatic_secondary	guanidines_secondary_secondary	0
amines_aliphatic_secondary	guanidines_tertiary_primary	0
amines_aliphatic_secondary	guanidines_tertiary_secondary	0
amines_aliphatic_secondary	calc_NAS_ELECTROPHILE	1
amines_aliphatic_secondary	o_amino_phenols	1
amines_aliphatic_secondary	o_amino_thiophenols	1
amines_aliphatic_secondary	o_iodo_sec_aniline	0
amines_aliphatic_secondary	triazine_dichloro	1
amines_aliphatic_secondary	triazine_chloro	0
amines_aliphatic_secondary	calc_AMINES_AROMATIC_SECONDARY_1	1
amines_aliphatic_secondary	sec_boc	0
amines_aliphatic_secondary	tert_boc	0
amines_aliphatic_secondary	alcohols_primary	0
azide	NO_FG	0
azide	aldehyde	0
azide	alkynes_terminal	0
azide	amines_aliphatic_secondary	0
azide	azide	1
azide	carboxylic_acids	0
azide	thiols	0
azide	calc_THIOPHENOLS	0
azide	calc_NITRO	0
azide	calc_PHENOLS	0
azide	sec_fmoc	0
azide	sulphonyl_chlorides	0
azide	boronics_aromatic	0
azide	tert_fmoc	0
azide	ester_methyl_ethyl	0
azide	nitro_fluoro	0
azide	sec_aniline_boc	0
azide	tert_aniline_boc	0
azide	o_nitro_sec_aniline	0
azide	calc_ARYLHALIDE	0
azide	amines-aliphatic-primary	0
azide	calc_AMINES_AROMATIC_PRIMARY	0
azide	isocyanates	0
azide	isothiocyanates	0
azide	o_iodo_aniline	0
azide	hydrazines_primary	0
azide	nitrile	0
azide	ketones_a_bromo	0
azide	ynones	0
azide	amidines_primary	0
azide	amidines_secondary	0
azide	guanidines_secondary_primary	0
azide	guanidines_secondary_secondary	0
azide	guanidines_tertiary_primary	0
azide	guanidines_tertiary_secondary	0
azide	calc_NAS_ELECTROPHILE	0
azide	o_amino_phenols	0
azide	o_amino_thiophenols	0
azide	o_iodo_sec_aniline	0
azide	triazine_dichloro	0
azide	triazine_chloro	0
azide	calc_AMINES_AROMATIC_SECONDARY_1	0
azide	sec_boc	0
azide	tert_boc	0
azide	alcohols_primary	0
carboxylic_acids	NO_FG	0
carboxylic_acids	aldehyde	0
carboxylic_acids	alkynes_terminal	0
carboxylic_acids	amines_aliphatic_secondary	0
carboxylic_acids	azide	0
carboxylic_acids	carboxylic_acids	1
carboxylic_acids	thiols	0
carboxylic_acids	calc_THIOPHENOLS	0
carboxylic_acids	calc_NITRO	0
carboxylic_acids	calc_PHENOLS	0
carboxylic_acids	sec_fmoc	0
carboxylic_acids	sulphonyl_chlorides	0
carboxylic_acids	boronics_aromatic	0
carboxylic_acids	tert_fmoc	0
carboxylic_acids	ester_methyl_ethyl	0
carboxylic_acids	nitro_fluoro	0
carboxylic_acids	sec_aniline_boc	0
carboxylic_acids	tert_aniline_boc	0
carboxylic_acids	o_nitro_sec_aniline	0
carboxylic_acids	calc_ARYLHALIDE	0
carboxylic_acids	amines-aliphatic-primary	0
carboxylic_acids	calc_AMINES_AROMATIC_PRIMARY	0
carboxylic_acids	isocyanates	0
carboxylic_acids	isothiocyanates	0
carboxylic_acids	o_iodo_aniline	0
carboxylic_acids	hydrazines_primary	0
carboxylic_acids	nitrile	0
carboxylic_acids	ketones_a_bromo	0
carboxylic_acids	ynones	0
carboxylic_acids	amidines_primary	0
carboxylic_acids	amidines_secondary	0
carboxylic_acids	guanidines_secondary_primary	0
carboxylic_acids	guanidines_secondary_secondary	0
carboxylic_acids	guanidines_tertiary_primary	0
carboxylic_acids	guanidines_tertiary_secondary	0
carboxylic_acids	calc_NAS_ELECTROPHILE	0
carboxylic_acids	o_amino_phenols	0
carboxylic_acids	o_amino_thiophenols	0
carboxylic_acids	o_iodo_sec_aniline	0
carboxylic_acids	triazine_dichloro	0
carboxylic_acids	triazine_chloro	0
carboxylic_acids	calc_AMINES_AROMATIC_SECONDARY_1	0
carboxylic_acids	sec_boc	0
carboxylic_acids	tert_boc	0
carboxylic_acids	alcohols_primary	0
thiols	NO_FG	0
thiols	aldehyde	0
thiols	alkynes_terminal	0
thiols	amines_aliphatic_secondary	0
thiols	azide	0
thiols	carboxylic_acids	0
thiols	thiols	1
thiols	calc_THIOPHENOLS	1
thiols	calc_NITRO	0
thiols	calc_PHENOLS	1
thiols	sec_fmoc	1
thiols	sulphonyl_chlorides	1
thiols	boronics_aromatic	0
thiols	tert_fmoc	1
thiols	ester_methyl_ethyl	0
thiols	nitro_fluoro	1
thiols	sec_aniline_boc	0
thiols	tert_aniline_boc	0
thiols	o_nitro_sec_aniline	0
thiols	calc_ARYLHALIDE	0
thiols	amines-aliphatic-primary	0
thiols	calc_AMINES_AROMATIC_PRIMARY	0
thiols	isocyanates	1
thiols	isothiocyanates	1
thiols	o_iodo_aniline	0
thiols	hydrazines_primary	0
thiols	nitrile	0
thiols	ketones_a_bromo	1
thiols	ynones	1
thiols	amidines_primary	0
thiols	amidines_secondary	0
thiols	guanidines_secondary_primary	0
thiols	guanidines_secondary_secondary	0
thiols	guanidines_tertiary_primary	0
thiols	guanidines_tertiary_secondary	0
thiols	calc_NAS_ELECTROPHILE	1
thiols	o_amino_phenols	1
thiols	o_amino_thiophenols	1
thiols	o_iodo_sec_aniline	0
thiols	triazine_dichloro	1
thiols	triazine_chloro	0
thiols	calc_AMINES_AROMATIC_SECONDARY_1	0
thiols	sec_boc	0
thiols	tert_boc	0
thiols	alcohols_primary	0
calc_THIOPHENOLS	NO_FG	0
calc_THIOPHENOLS	aldehyde	0
calc_THIOPHENOLS	alkynes_terminal	0
calc_THIOPHENOLS	amines_aliphatic_secondary	0
calc_THIOPHENOLS	azide	0
calc_THIOPHENOLS	carboxylic_acids	0
calc_THIOPHENOLS	thiols	1
calc_THIOPHENOLS	calc_THIOPHENOLS	1
calc_THIOPHENOLS	calc_NITRO	0
calc_THIOPHENOLS	calc_PHENOLS	1
calc_THIOPHENOLS	sec_fmoc	1
calc_THIOPHENOLS	sulphonyl_chlorides	1
calc_THIOPHENOLS	boronics_aromatic	0
calc_THIOPHENOLS	tert_fmoc	1
calc_THIOPHENOLS	ester_methyl_ethyl	0
calc_THIOPHENOLS	nitro_fluoro	1
calc_THIOPHENOLS	sec_aniline_boc	0
calc_THIOPHENOLS	tert_aniline_boc	0
calc_THIOPHENOLS	o_nitro_sec_aniline	0
calc_THIOPHENOLS	calc_ARYLHALIDE	0
calc_THIOPHENOLS	amines-aliphatic-primary	0
calc_THIOPHENOLS	calc_AMINES_AROMATIC_PRIMARY	0
calc_THIOPHENOLS	isocyanates	1
calc_THIOPHENOLS	isothiocyanates	1
calc_THIOPHENOLS	o_iodo_aniline	1
calc_THIOPHENOLS	hydrazines_primary	0
calc_THIOPHENOLS	nitrile	0
calc_THIOPHENOLS	ketones_a_bromo	1
calc_THIOPHENOLS	ynones	1
calc_THIOPHENOLS	amidines_primary	0
calc_THIOPHENOLS	amidines_secondary	0
calc_THIOPHENOLS	guanidines_secondary_primary	0
calc_THIOPHENOLS	guanidines_secondary_secondary	0
calc_THIOPHENOLS	guanidines_tertiary_primary	0
calc_THIOPHENOLS	guanidines_tertiary_secondary	0
calc_THIOPHENOLS	calc_NAS_ELECTROPHILE	1
calc_THIOPHENOLS	o_amino_phenols	1
calc_THIOPHENOLS	o_amino_thiophenols	1
calc_THIOPHENOLS	o_iodo_sec_aniline	0
calc_THIOPHENOLS	triazine_dichloro	1
calc_THIOPHENOLS	triazine_chloro	0
calc_THIOPHENOLS	calc_AMINES_AROMATIC_SECONDARY_1	0
calc_THIOPHENOLS	sec_boc	0
calc_THIOPHENOLS	tert_boc	0
calc_THIOPHENOLS	alcohols_primary	0
calc_NITRO	NO_FG	0
calc_NITRO	aldehyde	0
calc_NITRO	alkynes_terminal	0
calc_NITRO	amines_aliphatic_secondary	0
calc_NITRO	azide	0
calc_NITRO	carboxylic_acids	0
calc_NITRO	thiols	0
calc_NITRO	calc_THIOPHENOLS	0
calc_NITRO	calc_NITRO	1
calc_NITRO	calc_PHENOLS	0
calc_NITRO	sec_fmoc	0
calc_NITRO	sulphonyl_chlorides	0
calc_NITRO	boronics_aromatic	0
calc_NITRO	tert_fmoc	0
calc_NITRO	ester_methyl_ethyl	0
calc_NITRO	nitro_fluoro	0
calc_NITRO	sec_aniline_boc	0
calc_NITRO	tert_aniline_boc	0
calc_NITRO	o_nitro_sec_aniline	0
calc_NITRO	calc_ARYLHALIDE	0
calc_NITRO	amines-aliphatic-primary	0
calc_NITRO	calc_AMINES_AROMATIC_PRIMARY	0
calc_NITRO	isocyanates	0
calc_NITRO	isothiocyanates	0
calc_NITRO	o_iodo_aniline	0
calc_NITRO	hydrazines_primary	0
